YEAR,MONTH,mean_TMAX,mean_TMIN,mean_SNWD,max_SNWD,mean_PRCP,sum_PRCP,below_0_days,snowy_days,rainy_days,dry_days
2009,12,1.6483870967741936,-2.641935483870968,17.419354838709676,130.0,2.3,71.3,10,12,11,8
2010,1,-2.980645161290323,-7.487096774193549,221.61290322580646,370.0,1.2677419354838708,39.3,24,31,0,0
2010,2,2.225,-3.225,319.64285714285717,400.0,1.0214285714285716,28.6,8,28,0,0
2010,3,9.061290322580644,0.45161290322580644,5.806451612903226,70.0,1.3096774193548388,40.6,1,0,0,0
2010,4,15.576666666666666,3.86,0.0,0.0,0.25666666666666665,7.7,0,0,0,0
2010,5,15.135483870967741,7.341935483870968,0.0,0.0,2.770967741935484,85.9,0,0,0,0
2010,6,23.646666666666665,11.94,0.0,0.0,0.22333333333333333,6.7,0,0,0,0
2010,7,29.283870967741933,16.37741935483871,0.0,0.0,1.2677419354838708,39.3,0,0,0,0
2010,8,23.03548387096774,14.254838709677419,0.0,0.0,3.1258064516129034,96.9,0,0,0,0
2010,9,17.626666666666665,9.323333333333332,0.0,0.0,4.086666666666667,122.6,0,0,0,0
2010,10,12.04516129032258,4.554838709677419,0.0,0.0,0.5741935483870968,17.8,0,0,0,0
2010,11,6.776666666666667,2.493333333333333,0.0,0.0,2.9299999999999997,87.89999999999999,4,0,0,0
2010,12,-2.2193548387096773,-7.451612903225806,199.3548387096774,410.0,2.364516129032258,73.3,23,30,1,0
2011,1,3.429032258064516,-1.2000000000000002,73.54838709677419,300.0,1.1741935483870967,36.4,7,11,12,8
2011,2,2.7392857142857143,-3.4464285714285716,0.0,0.0,0.6571428571428571,18.4,8,0,7,21
2011,3,10.422580645161291,0.22258064516129028,0.0,0.0,0.5612903225806452,17.4,0,0,0,0
2011,4,18.953333333333333,7.52,0.0,0.0,1.2633333333333332,37.9,0,0,0,0
2011,5,22.06451612903226,8.667741935483871,0.0,0.0,0.5645161290322581,17.5,0,0,0,0
2011,6,24.633333333333333,12.72,0.0,0.0,1.5833333333333333,47.5,0,0,0,0
2011,7,21.793548387096774,13.503225806451614,0.0,0.0,6.22258064516129,192.9,0,0,0,0
